"","x"
"CELL325_N1_3T26-1-210413","Glu_16_CA_TRPC3"
"CELL1326_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL610_N1_3T26-1-210413","Glu_16_CA_TRPC3"
"CELL1151_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL1316_N1_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL43_N2_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL90_N2_3T26-1-210413","Glu_5_CA_SEMA6D"
"CELL637_N1_3T26-1-210413","Glu_0_Dg_PCDH15"
"CELL249_N1_3T26-1-210413","Glu_18_CA_NPNT"
"CELL204_N2_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL482_N1_3T26-1-210413","Glu_3_CA_FREM1"
"CELL430_N1_3T26-1-210413","Glu_5_CA_SEMA6D"
"CELL1184_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL572_N1_3T26-1-210413","GABA_3_Pvalb_PDGFC"
"CELL37_N2_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL978_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL702_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL193_N3_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL314_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL169_N2_3T26-1-210413","Glu_9_CA_AADAT"
"CELL1153_N1_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL641_N1_3T26-1-210413","Glu_16_CA_TRPC3"
"CELL229_N2_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL165_N2_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL585_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL19_N2_3T26-1-210413","GABA_4_Cck_CLMP"
"CELL120_N2_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL603_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL47_N2_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL1343_N1_3T26-1-210413","GABA_3_Pvalb_PDGFC"
"CELL990_N1_3T26-1-210413","Glu_0_Dg_PCDH15"
"CELL359_N1_3T26-1-210413","Glu_16_CA_TRPC3"
"CELL1_N2_3T26-1-210413","Glu_18_CA_NPNT"
"CELL626_N1_3T26-1-210413","GABA_3_Pvalb_PDGFC"
"CELL179_N2_3T26-1-210413","GABA_7_Sst_NPY"
"CELL735_N1_3T26-1-210413","Glu_17_CA_CPLX3"
"CELL956_N1_3T26-1-210413","GABA_6_Vip_CBLN2"
"CELL267_N1_3T26-1-210413","Glu_19_CA_HHIP"
"CELL112_N2_3T26-1-210413","Glu_6_CA_CA2"
"CELL651_N1_3T26-1-210413","Glu_16_CA_TRPC3"
"CELL57_N2_3T26-1-210413","Glu_6_CA_CA2"
"CELL725_N1_3T26-1-210413","olig_20_olig_olig"
"CELL622_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL60_N2_3T26-1-210413","GABA_3_Pvalb_PDGFC"
"CELL564_N1_3T26-1-210413","GABA_0_Sst_TRHDE"
"CELL1378_N1_3T26-1-210413","Glu_10_CA_ALK"
"CELL635_N1_3T26-1-210413","Glu_5_CA_SEMA6D"
"CELL253_N1_3T26-1-210413","Glu_7_CA_PRKCG"
"CELL1393_N1_3T26-1-210413","astrocyte_7_astrocyte_astrocyte"
"CELL584_N1_3T26-1-210413","Glu_10_CA_ALK"
"CELL489_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL94_N2_3T26-1-210413","Glu_13_CA_NDST4"
"CELL903_N1_3T26-1-210413","GABA_2_Pvalb_PLCL1"
"CELL129_N2_3T26-1-210413","Glu_9_CA_AADAT"
"CELL984_N1_3T26-1-210413","Glu_9_CA_AADAT"
"CELL366_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL55_N2_3T26-1-210413","GABA_10_Lamp5_CA8"
"CELL1175_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL852_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL282_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL729_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL1098_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL667_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL1217_N1_3T26-1-210413","Glu_15_CA_ABI3BP"
"CELL123_N2_3T26-1-210413","olig_20_olig_olig"
"CELL269_N1_3T26-1-210413","Glu_7_CA_PRKCG"
"CELL421_N1_3T26-1-210413","GABA_1_Lamp5_NWD2"
"CELL1313_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL885_N1_3T26-1-210413","GABA_0_Sst_TRHDE"
"CELL1246_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL481_N1_3T26-1-210413","Glu_13_CA_NDST4"
"CELL930_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL619_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL1066_N1_3T26-1-210413","GABA_2_Pvalb_PLCL1"
"CELL751_N1_3T26-1-210413","Glu_7_CA_PRKCG"
"CELL798_N1_3T26-1-210413","Glu_18_CA_NPNT"
"CELL219_N3_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL471_N1_3T26-1-210413","Glu_19_CA_HHIP"
"CELL1410_N1_3T26-1-210413","Glu_15_CA_ABI3BP"
"CELL657_N1_3T26-1-210413","Glu_7_CA_PRKCG"
"CELL265_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL105_N2_3T26-1-210413","GABA_10_Lamp5_CA8"
"CELL333_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL399_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL1010_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL198_N2_3T26-1-210413","Glu_6_CA_CA2"
"CELL109_N2_3T26-1-210413","Glu_18_CA_NPNT"
"CELL768_N1_3T26-1-210413","Glu_9_CA_AADAT"
